SG_UF,SG_PARTIDO,NM_PARTIDO,NM_FORNECEDOR,DT_PAGAMENTO,VR_GASTO,DS_GASTO_CONCAT
AC,REPUBLICANOS,REPUBLICANOS,GILCEMAR LEITE DOS SANTOS - ME,2018-11-16,30754.2,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA - MULHERES
AL,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,Direção Municipal/Comissão Provisória - PSDB - MACEIÓ - AL,2018-07-17,93452.63,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
AM,PSD,PARTIDO SOCIAL DEMOCRÁTICO,CAMPUS CENTRO DE ESTUDOS E PESQUISAS DE OPINIAO LTDA,2018-07-06,200000,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
AP,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,ETICA TURISMO VIAGENS RECEPTIVOS LTDA- ME,2018-06-29,69960.3,TRANSPORTES E VIAGENS - PASSAGENS AÉREAS - ORDINÁRIAS
BA,PT,PARTIDO DOS TRABALHADORES,MANUELA SERVICOS GRAFICOS LTDA - ME,2018-01-16,94293.7,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES - ORDINÁRIAS"
CE,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,TAM AVIACAO EXECUTIVA E TAXI AEREO S/A,2018-04-09,124760.2,TRANSPORTES E VIAGENS - FRETAMENTO DE AERONAVES - ORDINÁRIAS
DF,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,BANCO DO BRASIL S/A,2018-04-12,163503.98,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - DEPÓSITOS JUDICIAIS
ES,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITURA MUNICIPAL DE VITORIA,2018-06-01,30648.49,TRIBUTOS - TAXAS - ORDINÁRIAS
GO,PT,PARTIDO DOS TRABALHADORES,JUSTIÇA,2018-02-26,155398.18,DESPESAS JUDICIAIS - ORDINÁRIAS
MA,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,CONSTRUTORA QUADRANTE EIRELI,2018-08-13,80102.37,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS - ORDINÁRIAS"
MG,PP,PROGRESSISTAS,Direção Municipal/Comissão Provisória - PP - UBERLÂNDIA - MG,2018-11-16,147314.47,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
MS,PT,PARTIDO DOS TRABALHADORES,BANCO CENTRAL DO BRASIL - BACENJUD,2018-10-01,76693.22,DESPESAS JUDICIAIS - ORDINÁRIAS
MT,PODE,PODEMOS,LIDER TAXI AEREO S/A - AIR BRASIL,2018-10-12,226331.3,TRANSPORTES E VIAGENS - FRETAMENTO DE AERONAVES - ORDINÁRIAS
PA,PT,PARTIDO DOS TRABALHADORES,INSTITUTO NACIONAL DO SEGURO SOCIAL,2018-01-01,62856.44,PESSOAL - PREVIDÊNCIA SOCIAL - ORDINÁRIAS
PB,PT,PARTIDO DOS TRABALHADORES,MINISTERIO DA FAZENDA,2017-12-31,49384.5,TRIBUTOS - TAXAS - ORDINÁRIAS
PE,PSB,PARTIDO SOCIALISTA BRASILEIRO,PARTIDO SOCIALISTA BRASILEIRO - DIRETÓRIO NACIONAL,2018-01-17,70960.18,OUTRAS DESPESAS GERAIS - ORDINÁRIAS
PI,PL,PARTIDO LIBERAL,Direção Municipal/Comissão Provisória - PR - TERESINA - PI,2018-07-11,200000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
PR,SDD,SOLIDARIEDADE,PH EVENTOS E LOCAÇÃO DE MÃO DE OBRA LTDA,2018-01-24,109689.25,EVENTOS PROMOCIONAIS - ORDINÁRIAS
RJ,PSB,PARTIDO SOCIALISTA BRASILEIRO,PRO-EMPRESA INFORMÁTICA EIRELI,2018-08-02,78178.07,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
RN,PL,PARTIDO LIBERAL,ROSSITER ROCHA E CAPISTRANO ADVOGADOS,2017-12-31,204000,OUTRAS DESPESAS GERAIS - ORDINÁRIAS
RO,PSB,PARTIDO SOCIALISTA BRASILEIRO,CONTAGEM CONTABILIDADE,2018-12-31,61236.51,OUTRAS DESPESAS GERAIS - ORDINÁRIAS
RR,PP,PROGRESSISTAS,TARP TÁXI AÉREO LTDA. EPP,2018-07-03,107548.5,TRANSPORTES E VIAGENS - FRETAMENTO DE AERONAVES - ORDINÁRIAS
RS,PT,PARTIDO DOS TRABALHADORES,INSTITUTO NACIONAL DE SEGURIDADE SOCIAL - INSS,2017-12-31,655617.51,PESSOAL - PREVIDÊNCIA SOCIAL - ORDINÁRIAS
SC,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,ENGENHARIA DE EVENTOS EIRELI,2018-08-14,180763.85,CONVENÇÕES PARTIDÁRIAS - ORDINÁRIAS
SE,PT,PARTIDO DOS TRABALHADORES,BANESE BANCO DO ESTADO DE SERGIPE,2018-07-17,99673.92,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - DEPÓSITOS JUDICIAIS
SP,SDD,SOLIDARIEDADE,CENTRO DE ESTUDOS DE DIREITO PUBLICO - CEDP,2018-07-18,267472.5,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
TO,PSB,PARTIDO SOCIALISTA BRASILEIRO,MANZANO SOCIEDADE INDIVIDUAL DE ADVOCACIA-EIRELI,2018-04-26,150000,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS
