SG_UF,SG_PARTIDO,NM_PARTIDO,NM_FORNECEDOR,DT_PAGAMENTO,VR_GASTO,DS_GASTO_CONCAT
AC,REPUBLICANOS,REPUBLICANOS,GILCEMAR LEITE DOS SANTOS - ME,2018-06-19,123100,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
AC,REPUBLICANOS,REPUBLICANOS,GILCEMAR LEITE DOS SANTOS - ME,2018-07-11,97750,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
AC,REPUBLICANOS,REPUBLICANOS,LIMA E OLIVEIRA SERVIÇOS LTDA,2018-07-11,81633,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS - ORDINÁRIAS"
AC,REPUBLICANOS,REPUBLICANOS,GILCEMAR LEITE DOS SANTOS - ME,2018-06-19,56000,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - MULHERES
AC,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,F. FAÇANHA DE ALMEIDA,2018-07-26,40000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
AC,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,F. FAÇANHA DE ALMEIDA,2018-04-04,37500,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
AC,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,"IDEIAS ESTRATEGIA, PLANEJAMENTO E PROJETO AIRLI",2018-08-01,32500,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
AC,REPUBLICANOS,REPUBLICANOS,GILCEMAR LEITE DOS SANTOS - ME,2018-11-16,30754.2,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA - MULHERES
AC,PSD,PARTIDO SOCIAL DEMOCRÁTICO,W X D ÁVILA LUCENA,2018-07-26,30680,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA - ORDINÁRIAS
AC,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,SERGIO PORCIANO LOBÃO JUNIOR,2018-09-13,30000,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS CONTÁBEIS - ORDINÁRIAS
AL,PL,PARTIDO LIBERAL,CIPEC CENTRO INTEGRADO DE PESQUISA E COMUNICAÇÃO LTDA,2018-09-26,100000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
AL,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,Direção Municipal/Comissão Provisória - PSDB - MACEIÓ - AL,2018-07-17,93452.63,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
AL,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,Direção Municipal/Comissão Provisória - PSDB - MACEIÓ - AL,2018-04-05,70000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
AL,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,Direção Municipal/Comissão Provisória - PSDB - MACEIÓ - AL,2018-02-05,65000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
AL,PSD,PARTIDO SOCIAL DEMOCRÁTICO,J FERREIRA DAS CHAGAS COMERCIO DE MATERIAL DE CONSTRUCAO EIRELI,2018-12-13,57789.39,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS - ORDINÁRIAS"
AL,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,GUIMARÃES PESQUISAS E CONSULTORIA LTDA,2018-06-14,56000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
AL,PP,PROGRESSISTAS,SICAD,2018-06-30,53000,DESPESAS JUDICIAIS - ORDINÁRIAS
AL,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,IBRAPE PESQUISA LTDA,2018-08-13,50000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
AL,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,Direção Estadual/Distrital - PV - ALAGOAS,2018-09-21,50000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO ESTADUAL - ORDINÁRIAS
AL,PL,PARTIDO LIBERAL,CIPEC CENTRO INTEGRADO DE PESQUISA E COMUNICAÇÃO LTDA,2018-04-26,47500,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
AM,PSD,PARTIDO SOCIAL DEMOCRÁTICO,CAMPUS CENTRO DE ESTUDOS E PESQUISAS DE OPINIAO LTDA,2018-07-06,200000,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
AM,PODE,PODEMOS,R N P DA SILVA - ME,2018-05-08,120050,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
AM,DEM,DEMOCRATAS,GRAFICA E EDITORA VITORIA LTDA- ME,2018-10-05,113850,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
